state,period,target,anytarget_th0,inc_anytarget_th0_h6,protest_count,avg_protest_count,violence
AR,201802,0,0,1.0,0.0,1.76,0.0
AR,201803,0,0,1.0,0.0,1.76,0.0
AR,201804,0,0,1.0,1.0,1.76,0.0
AR,201805,1,1,1.0,2.0,1.76,1.0
AR,201806,1,1,0.0,9.0,1.76,1.0
AR,201807,0,0,0.0,0.0,1.76,0.0
AR,201808,0,0,0.0,0.0,1.76,0.0
AR,201809,0,0,0.0,1.0,1.76,0.0
AR,201810,0,0,1.0,0.0,1.76,0.0
AR,201811,0,0,1.0,0.0,1.76,0.0
AR,201812,0,0,1.0,0.0,1.76,0.0
AR,201901,0,0,1.0,0.0,1.76,0.0
AR,201902,0,0,1.0,0.0,1.76,0.0
AR,201903,0,0,1.0,0.0,1.76,0.0
AR,201904,1,1,1.0,2.0,1.76,0.0
AR,201905,1,1,1.0,2.0,1.76,1.0
AR,201906,0,0,1.0,0.0,1.76,0.0
AR,201907,1,1,1.0,4.0,1.76,0.0
AR,201908,0,0,1.0,0.0,1.76,0.0
AR,201909,0,0,1.0,0.0,1.76,0.0
AR,201910,0,0,1.0,0.0,1.76,0.0
AR,201911,0,0,1.0,0.0,1.76,0.0
AR,201912,0,0,1.0,0.0,1.76,0.0
AR,202001,1,1,1.0,2.0,1.76,0.0
AR,202002,0,0,1.0,0.0,1.76,0.0
AR,202003,0,0,1.0,0.0,1.76,0.0
AR,202004,0,0,1.0,0.0,1.76,0.0
AR,202005,1,1,1.0,11.0,1.76,1.0
AR,202006,1,1,1.0,37.0,1.76,1.0
AR,202007,1,1,1.0,9.0,1.76,1.0
AR,202008,1,1,1.0,2.0,1.76,0.0
AR,202009,1,1,1.0,5.0,1.76,0.0
AR,202010,1,1,1.0,2.0,1.76,0.0
AR,202011,0,0,1.0,1.0,1.76,0.0
AR,202012,0,0,1.0,0.0,1.76,0.0
AR,202101,1,1,1.0,2.0,1.76,0.0
AR,202102,1,1,1.0,2.0,1.76,0.0
AR,202103,1,1,1.0,4.0,1.76,0.0
AR,202104,1,1,1.0,10.0,1.76,0.0
AR,202105,0,0,1.0,1.0,1.76,0.0
AR,202106,1,1,1.0,3.0,1.76,0.0
AR,202107,0,0,1.0,0.0,1.76,0.0
AR,202108,1,1,1.0,3.0,1.76,0.0
AR,202109,0,0,1.0,1.0,1.76,0.0
AR,202110,1,1,1.0,2.0,1.76,0.0
AR,202111,1,1,1.0,3.0,1.76,0.0
AR,202112,0,0,1.0,0.0,1.76,0.0
AR,202201,0,0,1.0,1.0,1.76,0.0
AR,202202,0,0,1.0,1.0,1.76,1.0
AR,202203,1,1,1.0,2.0,1.76,0.0
AR,202204,1,1,0.0,3.0,1.76,0.0
AR,202205,0,0,0.0,1.0,1.76,0.0
AR,202206,0,0,0.0,0.0,1.76,0.0
AR,202207,0,0,1.0,1.0,1.76,1.0
AR,202208,0,0,1.0,1.0,1.76,0.0
AR,202209,0,0,1.0,0.0,1.76,0.0
AR,202210,0,0,1.0,1.0,1.76,0.0
AR,202211,0,0,1.0,0.0,1.76,1.0
AR,202212,0,0,1.0,1.0,1.76,0.0
AR,202301,1,1,1.0,3.0,1.76,0.0
AR,202302,1,1,1.0,4.0,1.76,0.0
AR,202303,1,1,0.0,2.0,1.76,0.0
AR,202304,0,0,0.0,0.0,1.76,0.0
AR,202305,0,0,0.0,1.0,1.76,0.0
AR,202306,0,0,0.0,1.0,1.76,1.0
AR,202307,0,0,0.0,0.0,1.76,0.0
AR,202308,0,0,0.0,1.0,1.76,0.0
AR,202309,0,0,0.0,0.0,1.76,0.0
AR,202310,0,0,0.0,0.0,1.76,0.0
AR,202311,0,0,0.0,0.0,1.76,0.0
AR,202312,0,0,0.0,0.0,1.76,0.0
AR,202401,0,0,1.0,1.0,1.76,0.0
AR,202402,0,0,1.0,0.0,1.76,0.0
AR,202403,0,0,1.0,1.0,1.76,0.0
AR,202404,0,0,1.0,0.0,1.76,0.0
AR,202405,0,0,1.0,0.0,1.76,0.0
AR,202406,0,0,1.0,1.0,1.76,0.0
AR,202407,1,1,1.0,2.0,1.76,0.0
AR,202408,0,0,1.0,1.0,1.76,0.0
AR,202409,0,0,1.0,1.0,1.76,0.0
AR,202410,0,0,1.0,1.0,1.76,0.0
AR,202411,0,0,,0.0,1.76,0.0
AR,202412,0,0,,0.0,1.76,0.0
AR,202501,1,1,,8.0,1.76,0.0
AR,202502,0,0,,1.0,1.76,0.0
AR,202503,0,0,,1.0,1.76,0.0
AR,202504,1,1,,4.0,1.76,0.0
AZ,201701,0,0,1.0,7.0,10.02,0.0
AZ,201702,1,1,0.0,11.0,10.02,1.0
AZ,201703,0,0,0.0,5.0,10.02,0.0
AZ,201704,0,0,0.0,8.0,10.02,0.0
AZ,201705,0,0,0.0,6.0,10.02,0.0
AZ,201706,0,0,0.0,4.0,10.02,1.0
AZ,201707,0,0,0.0,4.0,10.02,1.0
AZ,201708,0,0,0.0,8.0,10.02,1.0
AZ,201709,0,0,0.0,8.0,10.02,0.0
AZ,201710,0,0,0.0,5.0,10.02,0.0
AZ,201711,0,0,0.0,5.0,10.02,0.0
AZ,201712,0,0,1.0,8.0,10.02,1.0
AZ,201801,0,0,1.0,8.0,10.02,0.0
AZ,201802,0,0,1.0,8.0,10.02,0.0
AZ,201803,0,0,1.0,4.0,10.02,1.0
AZ,201804,0,0,1.0,7.0,10.02,0.0
AZ,201805,0,0,1.0,5.0,10.02,0.0
AZ,201806,1,1,1.0,26.0,10.02,0.0
AZ,201807,0,0,1.0,5.0,10.02,0.0
AZ,201808,0,0,1.0,5.0,10.02,1.0
AZ,201809,1,1,1.0,25.0,10.02,1.0
AZ,201810,0,0,1.0,5.0,10.02,0.0
AZ,201811,0,0,1.0,4.0,10.02,0.0
AZ,201812,0,0,1.0,5.0,10.02,1.0
AZ,201901,1,1,1.0,14.0,10.02,0.0
AZ,201902,0,0,1.0,5.0,10.02,1.0
AZ,201903,0,0,1.0,6.0,10.02,0.0
AZ,201904,0,0,1.0,9.0,10.02,0.0
AZ,201905,0,0,1.0,7.0,10.02,0.0
AZ,201906,0,0,1.0,5.0,10.02,0.0
AZ,201907,1,1,0.0,21.0,10.02,1.0
AZ,201908,0,0,0.0,7.0,10.02,0.0
AZ,201909,0,0,0.0,4.0,10.02,0.0
AZ,201910,0,0,0.0,5.0,10.02,0.0
