month,state,criminal justice,health,healthcare,immigrants,rent
2016-07,AR,41,42,34,17.0,88
2016-08,AR,79,53,42,22.0,74
2016-09,AR,75,53,39,37.0,65
2016-10,AR,70,51,39,46.0,61
2016-11,AR,69,48,43,62.0,59
2016-12,AR,59,42,34,31.0,56
2017-01,AR,69,53,44,58.0,76
2017-02,AR,70,49,40,95.0,82
2017-03,AR,55,53,53,44.0,76
2017-04,AR,77,50,38,35.0,76
2017-05,AR,67,46,52,36.0,79
2017-06,AR,41,52,49,15.0,90
2017-07,AR,58,51,50,14.0,94
2017-08,AR,68,52,44,19.0,74
2017-09,AR,81,50,46,37.0,63
2017-10,AR,71,53,50,35.0,60
2017-11,AR,63,50,49,32.0,60
2017-12,AR,47,45,38,23.0,55
2018-01,AR,82,53,44,42.0,77
2018-02,AR,66,52,43,41.0,77
2018-03,AR,65,50,40,26.0,84
2018-04,AR,71,51,44,33.0,77
2018-05,AR,69,48,42,31.0,90
2018-06,AR,58,51,44,60.0,92
2018-07,AR,48,53,47,27.0,94
2018-08,AR,72,59,44,22.0,79
2018-09,AR,55,53,46,28.0,70
2018-10,AR,78,55,49,67.0,67
2018-11,AR,72,49,43,65.0,60
2018-12,AR,71,45,37,42.0,57
2019-01,AR,65,56,45,65.0,80
2019-02,AR,69,56,45,40.0,80
2019-03,AR,72,53,41,33.0,81
2019-04,AR,82,58,48,35.0,79
2019-05,AR,71,46,39,27.0,82
2019-06,AR,46,49,42,29.0,90
2019-07,AR,46,53,45,34.0,94
2019-08,AR,72,57,42,30.0,81
2019-09,AR,73,57,42,39.0,73
2019-10,AR,68,59,43,34.0,70
2019-11,AR,85,52,40,35.0,66
2019-12,AR,44,48,38,28.0,62
2020-01,AR,63,57,45,25.0,77
2020-02,AR,64,55,46,31.0,76
2020-03,AR,52,100,57,18.0,69
2020-04,AR,58,77,71,24.0,72
2020-05,AR,58,64,52,17.0,89
2020-06,AR,52,72,47,18.0,97
2020-07,AR,37,74,44,14.0,94
2020-08,AR,71,68,41,18.0,83
2020-09,AR,81,71,47,44.0,79
2020-10,AR,53,67,52,27.0,73
2020-11,AR,56,63,48,26.0,68
2020-12,AR,40,63,46,20.0,69
2021-01,AR,53,73,53,26.0,81
2021-02,AR,61,62,48,28.0,82
2021-03,AR,52,62,47,37.0,99
2021-04,AR,47,60,49,20.0,96
2021-05,AR,49,53,44,13.0,96
2021-06,AR,40,56,46,13.0,100
2021-07,AR,38,65,47,17.0,99
2021-08,AR,46,73,53,20.0,93
2021-09,AR,51,67,56,34.0,95
2021-10,AR,59,62,50,32.0,89
2021-11,AR,46,58,51,25.0,92
2021-12,AR,44,61,51,14.0,89
2022-01,AR,46,79,68,18.0,94
2022-02,AR,46,62,58,23.0,96
2022-03,AR,48,60,60,23.0,93
2022-04,AR,81,58,54,46.0,88
2022-05,AR,56,58,52,28.0,85
2022-06,AR,43,60,51,15.0,93
2022-07,AR,35,59,53,14.0,88
2022-08,AR,59,64,59,17.0,84
2022-09,AR,57,60,56,52.0,71
2022-10,AR,59,62,53,32.0,67
2022-11,AR,49,61,51,30.0,63
2022-12,AR,39,55,51,28.0,60
2023-01,AR,57,65,58,24.0,71
2023-02,AR,62,65,53,29.0,73
2023-03,AR,58,63,53,23.0,75
2023-04,AR,60,59,54,27.0,72
2023-05,AR,47,60,55,37.0,76
2023-06,AR,38,60,58,14.0,80
2023-07,AR,40,63,60,13.0,81
2023-08,AR,48,65,63,19.0,71
2023-09,AR,64,67,61,41.0,64
2023-10,AR,64,67,67,39.0,64
2023-11,AR,50,64,62,30.0,55
2023-12,AR,46,57,57,34.0,54
2024-01,AR,53,68,72,42.0,61
2024-02,AR,49,67,72,55.0,65
2024-03,AR,46,61,63,48.0,63
2024-04,AR,56,69,65,35.0,63
2024-05,AR,52,61,59,25.0,60
2024-06,AR,43,61,53,24.0,63
2024-07,AR,40,64,56,23.0,71
2024-08,AR,59,65,63,39.0,60
2024-09,AR,59,67,63,100.0,53
2024-10,AR,63,69,64,65.0,55
2024-11,AR,54,61,60,69.0,46
2024-12,AR,41,60,100,33.0,49
2025-01,AR,61,70,70,100.0,58
2025-02,AR,60,69,58,99.0,55
2025-03,AR,55,66,62,54.0,58
2025-04,AR,63,70,63,53.0,59
2025-05,AR,54,66,64,43.0,67
2015-01,AS,0,73,0,,0
2015-02,AS,0,0,0,,0
2015-03,AS,0,0,0,,0
2015-04,AS,0,66,0,,0
2015-05,AS,0,0,0,,0
2015-06,AS,0,0,0,,0
2015-07,AS,0,0,0,,0
2015-08,AS,0,56,0,,0
2015-09,AS,0,64,0,,0
2015-10,AS,0,0,0,,0
2015-11,AS,0,45,0,,0
2015-12,AS,0,0,0,,0
2016-01,AS,0,71,0,,92
2016-02,AS,0,52,0,,0
2016-03,AS,0,86,0,,0
2016-04,AS,0,57,0,,0
2016-05,AS,0,69,0,,0
2016-06,AS,0,66,0,,0
2016-07,AS,0,0,0,,0
2016-08,AS,0,48,0,,0
2016-09,AS,0,60,0,,0
2016-10,AS,0,55,0,,0
2016-11,AS,0,48,0,,0
2016-12,AS,0,0,0,,0
2017-01,AS,0,0,0,,69
2017-02,AS,0,36,0,,0
2017-03,AS,0,46,0,,0
2017-04,AS,0,36,0,,100
2017-05,AS,0,0,0,,0
2017-06,AS,0,0,0,,0
2017-07,AS,0,0,0,,0
2017-08,AS,0,43,0,,0
2017-09,AS,0,49,0,,0
2017-10,AS,0,71,0,,0
2017-11,AS,0,0,0,,0
